TinhThanh,DTI_Tong,DTI_ChinhQuyenSo,DTI_KinhTeSo,DTI_XaHoiSo,HaTangSo,Nam,DanSo,GRDP_BinhQuan,TyLeThanhThi,TongDiem_DVC,CongKhaiMinhBach,TienDoGiaiQuyet,DichVuTrucTuyen,MucDoHaiLong,SoHoaHoSo
TP.Đà Nẵng,0.8002,0.8575,0.7836,0.5197,0.8253,2022,1220.2,102,87.45287658,56.32,7.71,17.3,5.82,16.3,9.19
TP. Hồ Chí Minh,0.7163,0.8406,0.7611,0.359,0.8258,2022,9389.7,159.4,77.72239795,59.84,3.92,19.4,3.54,17.73,15.25
Quảng Ninh,0.7024,0.8385,0.5904,0.4505,0.7648,2022,1362.9,197.7,67.2536503,57.67,5.87,19.08,5.58,17.76,9.38
Thừa Thiên Huế,0.6975,0.8262,0.6787,0.3001,0.6823,2022,1160.2,57,52.81847957,58.43,9.34,16.49,5.79,16.97,9.84
Cần Thơ,0.6924,0.7325,0.7556,0.2947,0.7233,2022,1252.3,87,70.50227581,53.91,8.69,16.4,5.39,16.93,6.5
Lạng Sơn,0.6837,0.7342,0.6499,0.3678,0.7522,2022,802.1,52.1,23.17666126,55.69,7.56,19.22,4.16,16.16,8.59
Bắc Ninh,0.6736,0.7193,0.7286,0.319,0.7002,2022,1488.2,169.1,37.26649644,52.6,3.98,18.46,6.96,17.06,6.14
Thái Nguyên,0.6469,0.7779,0.4829,0.2961,0.7453,2022,1336,110,39.34131737,58.85,8.45,18.65,5.66,17.88,8.21
TP.Hải Phòng,0.6352,0.6481,0.7469,0.3623,0.5756,2022,2088,173.5,45.58429119,53.71,7.67,19.69,2.79,17.24,6.32
Thanh Hóa,0.635,0.6604,0.5924,0.3712,0.5177,2022,3722.1,68.1,27.66986379,54.41,9.79,16.36,4.72,16.21,7.33
Ninh Bình,0.6214,0.7571,0.4707,0.2515,0.7037,2022,1010.7,79.6,21.60878599,61.56,7.23,19.59,5.53,18,11.21
Lâm Đồng,0.6209,0.6832,0.6215,0.2913,0.6599,2022,1332.5,77.8,39.2945591,58.56,7.56,18.85,7.13,17.94,7.08
Phú Thọ,0.6126,0.634,0.6151,0.249,0.7453,2022,1516.9,59.6,19.34867163,54.64,7.05,19.5,4.38,17.21,6.5
TP.Hà Nội,0.6098,0.562,0.7615,0.3648,0.6677,2022,8435.7,141.6,49.05935488,49.45,6.07,18.97,2.83,16.43,5.15
Quảng Ngãi,0.6033,0.5978,0.5097,0.2569,0.6805,2022,1245.6,99.1,21.85292229,54.8,7.28,18.99,6.17,17.19,5.17
Vĩnh Long,0.5824,0.5979,0.4794,0.2485,0.7293,2022,1028.8,68.9,22.73522551,50.71,6.79,18.37,3.98,17.76,3.81
Hưng Yên,0.5753,0.5751,0.5411,0.3329,0.5713,2022,1290.9,102.3,16.84096367,54.62,7.66,19.41,4.44,18,5.11
Điện Biên,0.5735,0.6147,0.4979,0.2725,0.5187,2022,635.9,39.6,15.20679352,55.45,6.75,19.42,4.6,18,6.68
Hà Tĩnh,0.5676,0.5962,0.5387,0.2923,0.6283,2022,1323.7,71.2,22.51265392,57.01,7.14,17.81,5.64,15.57,10.85
Lào Cai,0.5652,0.6097,0.4435,0.2687,0.4454,2022,770.6,86,26.7973008,59.83,11.28,19.48,5.05,17.46,6.56
Đồng Tháp,0.5649,0.6519,0.4454,0.3301,0.5362,2022,1600.2,61.7,20.24121985,54.35,8.88,18.72,3.79,17.58,5.38
Tây Ninh,0.5638,0.66,0.5612,0.1089,0.6255,2022,1188.8,86.6,32.52860027,59.21,7.47,19.27,5.16,17.7,9.61
Khánh Hòa,0.5576,0.481,0.6,0.261,0.619,2022,1254,77.2,42.36044657,65.06,9.24,19.05,6.9,17.68,12.19
Đồng Nai,0.5507,0.4579,0.526,0.3115,0.6957,2022,3255.8,129.2,45.15940783,55.16,11.19,19.23,3.28,15.81,5.65
Sơn La,0.5478,0.5357,0.5498,0.2481,0.6649,2022,1300.1,49.6,13.98353973,52.38,8.07,19.4,2.99,18,3.92
Đắk Lắk,0.5408,0.5444,0.621,0.2903,0.6484,2022,1918.4,57.3,24.9322352,53.26,8.35,18.9,3.53,17.58,4.9
Tuyên Quang,0.532,0.5028,0.465,0.3073,0.478,2022,805.8,50.6,14.9540829,55.46,5.65,18.71,4.92,18,8.18
Nghệ An,0.5049,0.4711,0.4573,0.2791,0.5963,2022,3420,51.6,15.50877193,50.69,5.63,18.31,3.17,17.31,6.27
Lai Châu,0.5032,0.5294,0.5212,0.2459,0.324,2022,482.1,50.2,17.6934246,58.84,9.2,19.36,5.45,18,6.83
An Giang,0.4972,0.4927,0.4862,0.2577,0.5472,2022,1905.5,52.4,33.83888743,51.23,6,19.03,4.4,17.82,3.98
Quảng Trị,0.4866,0.4355,0.4954,0.1911,0.5538,2022,650.9,65,32.66246735,53.2,9.04,17,3.56,15.42,8.18
Cà Mau,0.4689,0.3888,0.4049,0.1809,0.5116,2022,1207.6,61.1,22.83868831,58.9,8.15,19.16,5.55,17.79,8.25
Cao Bằng,0.4081,0.3892,0.4534,0.1746,0.4412,2022,543.1,38.7,25.50174922,50.69,6.67,19.49,3.04,16.02,5.47
Gia Lai,0.4069,0.4101,0.4316,0.1261,0.6199,2022,1591,53.3,29.33375236,51.1,7.55,18.55,2.13,17.52,5.35
TP.Đà Nẵng,0.834,0.879,0.7262,0.5881,0.8362,2023,1245.2,107.8,87.64053967,70.93,12.23,17.62,10.49,17.11,13.48
TP. Hồ Chí Minh,0.802,0.8643,0.819,0.5319,0.8364,2023,9456.7,170.6,77.65922573,68.69,9.26,19.26,8.73,17.94,13.5
Thừa Thiên Huế,0.766,0.805,0.7589,0.4048,0.7098,2023,1166.5,62.4,52.82468924,70.9,16.85,17.69,8.26,17.29,10.81
Lạng Sơn,0.7601,0.8489,0.6801,0.5005,0.7336,2023,807.3,56.4,23.17601883,69.51,9.26,18.99,9.27,17.94,14.05
Cần Thơ,0.7468,0.8055,0.6452,0.4617,0.7884,2023,1258.9,94.8,70.52188418,76.94,12.7,18.62,15.79,17.74,12.09
TP.Hà Nội,0.7448,0.6794,0.8667,0.5639,0.6901,2023,8587.1,150.3,49.06196504,60.26,10.53,19.42,5.15,17.65,7.51
TP.Hải Phòng,0.7367,0.7201,0.7516,0.5738,0.7357,2023,2105,187.9,45.63420428,74.21,15.41,19.23,11.96,17.63,9.98
Thanh Hóa,0.7314,0.7496,0.6447,0.4501,0.6961,2023,3739.5,74,27.70691269,71.6,14.69,16.71,9.8,16.25,14.15
Quảng Ninh,0.7166,0.7662,0.6356,0.5105,0.7291,2023,1381.2,227.1,69.46133797,77.12,11.51,17.69,14.13,17.85,15.94
Thái Nguyên,0.7137,0.7702,0.6673,0.4913,0.7195,2023,1350.3,115.1,40.65022588,87.04,14.82,18.91,17.83,17.72,17.76
Bắc Ninh,0.7115,0.8001,0.6425,0.3843,0.7529,2023,1517.4,148.3,50.79082641,73.31,14.87,17.27,10.24,17.62,13.31
Ninh Bình,0.7094,0.7904,0.6549,0.4425,0.7312,2023,1017.1,86.6,21.68911611,77.37,16.05,19.17,9.02,18,15.13
Quảng Ngãi,0.7077,0.7599,0.5596,0.4088,0.6531,2023,1248.1,102.1,21.87324734,70.78,11.5,19.11,11.36,17.4,11.41
Điện Biên,0.703,0.8465,0.6647,0.4041,0.6818,2023,646.2,43.4,15.19653358,72.47,11.35,19.52,11.24,17.88,12.48
Hà Tĩnh,0.6993,0.7807,0.5587,0.4003,0.6656,2023,1323.7,78,22.51265392,75.11,11.51,18.43,13.19,17.09,14.89
Lâm Đồng,0.6902,0.7472,0.5923,0.3826,0.743,2023,1345,86.4,39.38289963,83.05,15.31,18.44,16.69,17.52,15.09
Khánh Hòa,0.6869,0.6524,0.6604,0.4994,0.712,2023,1260.6,88.8,42.3925115,73.81,12.21,17.4,10.37,17.22,16.61
Hưng Yên,0.6855,0.7943,0.5553,0.4011,0.6572,2023,1301,112.5,16.98693313,77.03,10.56,19.74,13.74,17.91,15.08
Đồng Nai,0.6848,0.6886,0.664,0.4861,0.7273,2023,3310.9,135.6,45.25959709,64.89,14.92,18.74,5.27,16.55,9.41
Tây Ninh,0.6817,0.6882,0.5649,0.4509,0.6745,2023,1194.9,92.8,32.57176333,71.36,14.01,18.49,8.97,17.61,12.28
Lào Cai,0.6783,0.7218,0.6055,0.3975,0.6709,2023,779.9,88.6,27.05475061,81.56,14.27,18.9,16.02,17.76,14.61
Cà Mau,0.6772,0.7817,0.5198,0.4103,0.6945,2023,1207.4,66,23.05781017,89.64,17.3,16.7,18.35,17.39,19.9
Đồng Tháp,0.6768,0.6911,0.5581,0.4137,0.6452,2023,1600.2,68.6,20.35995501,65.95,15.48,19.35,5.69,17.94,7.49
Tuyên Quang,0.6735,0.7089,0.6197,0.4443,0.6904,2023,812.2,54.9,15.11942871,79.45,13.67,18.2,15.74,17.88,13.96
Đắk Lắk,0.6734,0.7489,0.6035,0.4147,0.7046,2023,1931.5,62.7,26.01087238,74.05,13.95,19.23,6.1,17.82,16.95
Nghệ An,0.6619,0.6599,0.5355,0.4354,0.6924,2023,3442,56,15.68855317,68.49,13.58,18.35,7.72,17.72,11.12
Phú Thọ,0.6616,0.8065,0.5573,0.363,0.7149,2023,1530.8,64.2,19.42121766,71.89,13.36,18.73,9.18,17.62,13
Vĩnh Long,0.6567,0.6885,0.5451,0.3709,0.7461,2023,1029.6,73.4,22.87296037,62.72,12.01,19.04,5.57,17.76,8.34
Sơn La,0.6538,0.6501,0.5909,0.4205,0.6127,2023,1313.3,51,14.13233838,59.95,12.57,19.26,4.07,18,6.05
Lai Châu,0.6185,0.6014,0.5069,0.3455,0.5659,2023,489.3,52.2,17.67831596,78.39,17.23,18.91,12.7,18,11.55
Gia Lai,0.6159,0.7552,0.5255,0.3445,0.526,2023,1613.9,60.6,29.43800731,55.54,10.8,17.99,2.79,17.8,6.16
An Giang,0.5582,0.5869,0.5834,0.3553,0.523,2023,1906.3,58.8,36.99837381,68.84,13.17,19.19,8.85,17.62,10.01
Quảng Trị,0.5488,0.546,0.4693,0.3058,0.6511,2023,654.2,74.4,32.75756649,58.52,9.74,12.48,7.28,15.8,13.22
Cao Bằng,0.5249,0.4424,0.5495,0.3381,0.5274,2023,547.9,41.2,25.46085052,70.42,14.13,19.03,7.05,17.82,12.39
TP. Hồ Chí Minh,0.8373,0.5988,0.9311,0.6857,1,2024,9543.6,182.5,77.83855149,68.57,11.12,19.5,10.2,17.88,9.87
TP.Đà Nẵng,0.8335,0.8665,0.8486,0.7235,1,2024,1276,112.9,87.81347962,67.78,12.18,18.41,11.43,15.56,10.2
TP.Hải Phòng,0.8253,0.7856,0.8879,0.5841,1,2024,2124.5,205.7,45.67192281,80.94,13.7,18.72,15.24,17.68,15.6
TP.Hà Nội,0.8241,0.5661,0.925,0.8127,0.9286,2024,8717.6,160.1,49.10525833,64.1,9.22,18.14,9.01,17.64,10.09
Thừa Thiên Huế,0.7951,0.7519,0.5617,0.6451,0.9664,2024,1178.6,68.6,52.82538605,76.79,14.93,17.56,12.68,17.36,14.26
Thái Nguyên,0.7924,0.8036,0.5898,0.5462,1,2024,1365.2,122.6,40.73395839,89.03,14.49,19.2,17.54,17.72,20.08
Thanh Hóa,0.7742,0.6306,0.6179,0.5359,0.9544,2024,3764.2,79.2,28.11221508,87.67,12.7,19.19,18.06,17.42,20.3
Điện Biên,0.7651,0.6458,0.5487,0.5637,0.9466,2024,656.7,47.7,15.19719811,77.35,10.8,19.68,15.26,17.88,13.73
Hà Tĩnh,0.7629,0.6331,0.7199,0.5139,0.7529,2024,1329.8,84.6,22.58986314,81.26,10.26,18.72,17.17,17.59,17.52
Cần Thơ,0.7505,0.5894,0.5246,0.6688,0.8929,2024,1271.7,103.7,70.66918298,83.09,12.99,19.54,17.42,17.82,15.32
Quảng Ninh,0.7484,0.4088,0.7325,0.6025,1,2024,1396.5,264.1,69.33762979,79.4,10.57,18.68,17.37,17.83,14.95
Lạng Sơn,0.748,0.5569,0.7101,0.3685,1,2024,814,62.4,23.62407862,78.43,11.8,19.19,12.66,17.82,16.96
Bắc Ninh,0.7364,0.4126,0.8429,0.6551,0.9643,2024,1546.6,131.9,50.94400621,82.24,14.61,18.15,14.67,17.88,16.93
Lâm Đồng,0.7331,0.6385,0.5189,0.6246,0.9816,2024,1362.5,96.3,39.66238532,82.81,13.39,18.82,16.95,17.76,15.89
Cà Mau,0.7277,0.7579,0.3483,0.4995,0.9617,2024,1212,73.3,23.50660066,88.83,15.67,19.59,18.27,17.76,17.54
Nghệ An,0.7184,0.4967,0.4196,0.6106,0.9561,2024,3472.3,61.2,15.72444777,82.65,12.99,18.98,16.75,17.69,16.24
Quảng Ngãi,0.7166,0.5381,0.6883,0.5304,0.7137,2024,1259.9,104.3,22.29542027,85.76,12.42,19.17,17.34,17.27,19.56
Vĩnh Long,0.7145,0.5617,0.5681,0.5387,0.9839,2024,1037.3,78.5,22.92490119,79.1,13.38,19.84,11.4,17.82,16.66
Khánh Hòa,0.7079,0.5528,0.5886,0.6283,0.9018,2024,1269.3,102.1,42.39344521,75.22,12.92,17,12.48,17.52,15.3
Lai Châu,0.7056,0.5765,0.4913,0.351,0.869,2024,495.5,54.9,17.67911201,84.93,15,19.56,16.94,18,15.43
Ninh Bình,0.6833,0.5619,0.6425,0.5125,0.7042,2024,1030.3,94,21.80918179,78.78,14.65,19.14,11.63,18,15.36
Đắk Lắk,0.6807,0.6151,0.5395,0.6143,0.9951,2024,1946.2,69.3,26.09187134,78.3,13.08,19.26,10.98,17.86,17.12
Quảng Trị,0.677,0.4675,0.3387,0.7155,0.9121,2024,659.2,82.4,32.76699029,81.25,14.44,16.74,12.82,17.4,19.85
Lào Cai,0.6751,0.5967,0.5621,0.5629,0.8506,2024,792.2,94.1,27.13961121,84.45,14.91,19.14,16.91,17.82,15.67
Đồng Nai,0.6711,0.4485,0.6119,0.5912,1,2024,3365.4,142.3,45.3616212,71.26,14.42,18.81,8.88,17.35,11.8
Đồng Tháp,0.6647,0.3924,0.5887,0.5186,0.7845,2024,1601.1,75.7,20.52339017,73.13,11.73,19.27,11.55,18,12.58
Sơn La,0.664,0.6571,0.5613,0.4127,0.9214,2024,1330.6,53.3,14.40703442,76.8,12.39,19.59,12.57,17.71,14.54
Tuyên Quang,0.6432,0.5638,0.5864,0.4652,0.9107,2024,820.3,59.9,19.40753383,83.09,12.55,19.54,18,18,15
Phú Thọ,0.637,0.4433,0.5638,0.5177,0.9659,2024,1543.9,69.2,19.51551266,78.75,12.62,19.66,12.81,17.7,15.96
Hưng Yên,0.6303,0.5096,0.6357,0.4896,0.8671,2024,1318.1,123.5,17.08519839,86.72,14.21,19.84,17.92,17.99,16.76
Tây Ninh,0.6274,0.5075,0.3615,0.4981,0.9694,2024,1202.8,99.2,32.56568008,78.66,13.63,19.05,12.51,17.79,15.68
An Giang,0.5393,0.5304,0.3846,0.513,0.6793,2024,1912.6,65.6,36.93924501,85.23,14.99,19.54,17.13,17.83,15.74
Gia Lai,0.5288,0.5885,0.5086,0.4057,0.4491,2024,1634.9,67.9,29.53085816,73.9,12.9,18.11,11.88,17.7,13.31
Cao Bằng,0.5128,0.381,0.4982,0.4325,0.4904,2024,558.5,43.9,25.4610564,81.11,12.02,19.25,16.2,17.76,15.88
